tof_t1 , 77.47, tof_t2 , 79.63
tof_t1 , 77.45, tof_t2 , 79.66
tof_t1 , 77.58, tof_t2 , 79.73
tof_t1 , 77.41, tof_t2 , 79.51
tof_t1 , 77.49, tof_t2 , 79.71
tof_t1 , 77.45, tof_t2 , 79.72
tof_t1 , 77.43, tof_t2 , 79.64
tof_t1 , 77.59, tof_t2 , 79.80
tof_t1 , 77.48, tof_t2 , 79.64
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.53, tof_t2 , 79.74
tof_t1 , 77.45, tof_t2 , 79.66
tof_t1 , 77.49, tof_t2 , 79.71
tof_t1 , 77.43, tof_t2 , 79.70
tof_t1 , 77.43, tof_t2 , 79.58
tof_t1 , 77.44, tof_t2 , 79.65
tof_t1 , 77.38, tof_t2 , 79.60
tof_t1 , 77.40, tof_t2 , 79.66
tof_t1 , 77.45, tof_t2 , 79.71
tof_t1 , 77.42, tof_t2 , 79.58
tof_t1 , 77.45, tof_t2 , 79.71
tof_t1 , 77.51, tof_t2 , 79.73
tof_t1 , 77.45, tof_t2 , 79.66
tof_t1 , 77.42, tof_t2 , 79.58
tof_t1 , 77.40, tof_t2 , 79.61
tof_t1 , 77.50, tof_t2 , 79.71
tof_t1 , 77.48, tof_t2 , 79.69
tof_t1 , 77.47, tof_t2 , 79.68
tof_t1 , 77.40, tof_t2 , 79.49
tof_t1 , 77.24, tof_t2 , 79.57
tof_t1 , 77.12, tof_t2 , 79.33
tof_t1 , 77.10, tof_t2 , 79.37
tof_t1 , 77.04, tof_t2 , 79.19
tof_t1 , 76.92, tof_t2 , 79.07
tof_t1 , 76.88, tof_t2 , 79.03
tof_t1 , 76.87, tof_t2 , 78.96
tof_t1 , 76.77, tof_t2 , 79.04
tof_t1 , 76.57, tof_t2 , 78.84
tof_t1 , 76.61, tof_t2 , 78.87
tof_t1 , 76.57, tof_t2 , 78.84
tof_t1 , 76.61, tof_t2 , 78.82
tof_t1 , 76.52, tof_t2 , 78.73
tof_t1 , 76.50, tof_t2 , 78.77
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.58, tof_t2 , 78.84
tof_t1 , 76.64, tof_t2 , 78.79
tof_t1 , 76.45, tof_t2 , 78.60
tof_t1 , 76.39, tof_t2 , 78.54
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.45, tof_t2 , 78.66
tof_t1 , 76.46, tof_t2 , 78.73
tof_t1 , 76.48, tof_t2 , 78.64
tof_t1 , 76.47, tof_t2 , 78.62
tof_t1 , 76.50, tof_t2 , 78.77
tof_t1 , 76.45, tof_t2 , 78.71
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.56, tof_t2 , 78.71
tof_t1 , 76.53, tof_t2 , 78.75
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.47, tof_t2 , 78.62
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.48, tof_t2 , 78.75
tof_t1 , 76.43, tof_t2 , 78.64
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.46, tof_t2 , 78.73
tof_t1 , 76.45, tof_t2 , 78.60
tof_t1 , 76.53, tof_t2 , 78.68
tof_t1 , 76.47, tof_t2 , 78.73
tof_t1 , 76.44, tof_t2 , 78.71
tof_t1 , 76.43, tof_t2 , 78.70
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.44, tof_t2 , 78.65
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.41, tof_t2 , 78.68
tof_t1 , 76.46, tof_t2 , 78.61
tof_t1 , 76.46, tof_t2 , 78.73
tof_t1 , 76.44, tof_t2 , 78.59
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.53, tof_t2 , 78.74
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.49, tof_t2 , 78.75
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.51, tof_t2 , 78.72
tof_t1 , 76.43, tof_t2 , 78.70
tof_t1 , 76.42, tof_t2 , 78.69
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.44, tof_t2 , 78.65
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.55, tof_t2 , 78.81
tof_t1 , 76.45, tof_t2 , 78.72
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.45, tof_t2 , 78.66
tof_t1 , 76.52, tof_t2 , 78.67
tof_t1 , 76.54, tof_t2 , 78.81
tof_t1 , 76.54, tof_t2 , 78.81
tof_t1 , 76.51, tof_t2 , 78.66
tof_t1 , 76.43, tof_t2 , 78.70
tof_t1 , 76.58, tof_t2 , 78.73
tof_t1 , 76.48, tof_t2 , 78.58
tof_t1 , 76.54, tof_t2 , 78.75
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.65, tof_t2 , 78.81
tof_t1 , 76.42, tof_t2 , 78.63
tof_t1 , 76.38, tof_t2 , 78.59
tof_t1 , 76.42, tof_t2 , 78.69
tof_t1 , 76.50, tof_t2 , 78.77
tof_t1 , 76.40, tof_t2 , 78.67
tof_t1 , 76.49, tof_t2 , 78.64
tof_t1 , 76.54, tof_t2 , 78.75
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.45, tof_t2 , 78.66
tof_t1 , 76.54, tof_t2 , 78.87
tof_t1 , 76.54, tof_t2 , 78.81
tof_t1 , 76.40, tof_t2 , 78.66
tof_t1 , 76.47, tof_t2 , 78.62
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.41, tof_t2 , 78.62
tof_t1 , 76.44, tof_t2 , 78.70
tof_t1 , 76.47, tof_t2 , 78.62
tof_t1 , 76.42, tof_t2 , 78.80
tof_t1 , 76.46, tof_t2 , 78.73
tof_t1 , 76.38, tof_t2 , 78.59
tof_t1 , 76.42, tof_t2 , 78.57
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.45, tof_t2 , 78.66
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.44, tof_t2 , 78.65
tof_t1 , 76.52, tof_t2 , 78.67
tof_t1 , 76.46, tof_t2 , 78.73
tof_t1 , 76.43, tof_t2 , 78.64
tof_t1 , 76.43, tof_t2 , 78.64
tof_t1 , 76.42, tof_t2 , 78.64
tof_t1 , 76.45, tof_t2 , 78.66
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.37, tof_t2 , 78.64
tof_t1 , 76.39, tof_t2 , 78.66
tof_t1 , 76.50, tof_t2 , 78.66
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.46, tof_t2 , 78.73
tof_t1 , 76.44, tof_t2 , 78.65
tof_t1 , 76.44, tof_t2 , 78.65
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.43, tof_t2 , 78.70
tof_t1 , 76.51, tof_t2 , 78.66
tof_t1 , 76.44, tof_t2 , 78.70
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.39, tof_t2 , 78.60
tof_t1 , 76.44, tof_t2 , 78.66
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.48, tof_t2 , 78.76
tof_t1 , 76.52, tof_t2 , 78.73
tof_t1 , 76.53, tof_t2 , 78.69
tof_t1 , 76.44, tof_t2 , 78.65
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.60, tof_t2 , 78.81
tof_t1 , 76.53, tof_t2 , 78.86
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.52, tof_t2 , 78.73
tof_t1 , 76.51, tof_t2 , 78.72
tof_t1 , 76.52, tof_t2 , 78.74
tof_t1 , 76.52, tof_t2 , 78.79
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.44, tof_t2 , 78.71
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.51, tof_t2 , 78.66
tof_t1 , 76.50, tof_t2 , 78.72
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.58, tof_t2 , 78.73
tof_t1 , 76.52, tof_t2 , 78.73
tof_t1 , 76.59, tof_t2 , 78.86
tof_t1 , 76.63, tof_t2 , 78.90
tof_t1 , 76.75, tof_t2 , 79.02
tof_t1 , 76.69, tof_t2 , 79.02
tof_t1 , 76.83, tof_t2 , 79.04
tof_t1 , 76.76, tof_t2 , 79.02
tof_t1 , 76.81, tof_t2 , 79.02
tof_t1 , 76.81, tof_t2 , 79.08
tof_t1 , 77.16, tof_t2 , 79.37
tof_t1 , 77.14, tof_t2 , 79.30
tof_t1 , 77.34, tof_t2 , 79.60
tof_t1 , 77.40, tof_t2 , 79.61
tof_t1 , 77.41, tof_t2 , 79.62
tof_t1 , 77.47, tof_t2 , 79.62
tof_t1 , 77.41, tof_t2 , 79.62
tof_t1 , 77.40, tof_t2 , 79.56
tof_t1 , 77.59, tof_t2 , 79.75
tof_t1 , 77.48, tof_t2 , 79.63
tof_t1 , 77.44, tof_t2 , 79.71
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.45, tof_t2 , 79.66
tof_t1 , 77.47, tof_t2 , 79.63
tof_t1 , 77.41, tof_t2 , 79.57
tof_t1 , 77.44, tof_t2 , 79.71
tof_t1 , 77.44, tof_t2 , 79.71
tof_t1 , 77.46, tof_t2 , 79.61
tof_t1 , 77.48, tof_t2 , 79.69
tof_t1 , 77.50, tof_t2 , 79.65
tof_t1 , 77.40, tof_t2 , 79.61
tof_t1 , 77.44, tof_t2 , 79.60
tof_t1 , 77.51, tof_t2 , 79.72
tof_t1 , 77.50, tof_t2 , 79.65
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.46, tof_t2 , 79.61
tof_t1 , 77.47, tof_t2 , 79.68
tof_t1 , 77.50, tof_t2 , 79.71
tof_t1 , 77.47, tof_t2 , 79.63
tof_t1 , 77.53, tof_t2 , 79.68
tof_t1 , 77.46, tof_t2 , 79.68
tof_t1 , 77.47, tof_t2 , 79.57
tof_t1 , 77.59, tof_t2 , 79.80
tof_t1 , 77.63, tof_t2 , 79.84
tof_t1 , 77.60, tof_t2 , 79.75
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.44, tof_t2 , 79.65
tof_t1 , 77.45, tof_t2 , 79.66
tof_t1 , 77.44, tof_t2 , 79.59
tof_t1 , 77.53, tof_t2 , 79.69
tof_t1 , 77.46, tof_t2 , 79.67
tof_t1 , 77.41, tof_t2 , 79.68
tof_t1 , 77.46, tof_t2 , 79.67
tof_t1 , 77.43, tof_t2 , 79.58
tof_t1 , 77.56, tof_t2 , 79.77
tof_t1 , 77.49, tof_t2 , 79.71
tof_t1 , 77.45, tof_t2 , 79.72
tof_t1 , 77.48, tof_t2 , 79.64
tof_t1 , 77.49, tof_t2 , 79.64
tof_t1 , 77.54, tof_t2 , 79.75
tof_t1 , 77.50, tof_t2 , 79.60
tof_t1 , 77.49, tof_t2 , 79.76
tof_t1 , 77.51, tof_t2 , 79.66
tof_t1 , 77.55, tof_t2 , 79.76
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.55, tof_t2 , 79.70
tof_t1 , 77.50, tof_t2 , 79.72
tof_t1 , 77.53, tof_t2 , 79.69
tof_t1 , 77.52, tof_t2 , 79.67
tof_t1 , 77.49, tof_t2 , 79.76
tof_t1 , 77.51, tof_t2 , 79.72
tof_t1 , 77.42, tof_t2 , 79.52
tof_t1 , 77.39, tof_t2 , 79.60
tof_t1 , 77.45, tof_t2 , 79.72
tof_t1 , 77.53, tof_t2 , 79.68
tof_t1 , 77.52, tof_t2 , 79.67
tof_t1 , 77.58, tof_t2 , 79.85
tof_t1 , 77.50, tof_t2 , 79.71
tof_t1 , 77.54, tof_t2 , 79.69
tof_t1 , 77.54, tof_t2 , 79.75
tof_t1 , 77.49, tof_t2 , 79.76
tof_t1 , 77.62, tof_t2 , 79.77
tof_t1 , 77.52, tof_t2 , 79.73
tof_t1 , 77.53, tof_t2 , 79.74
tof_t1 , 77.50, tof_t2 , 79.60
tof_t1 , 77.45, tof_t2 , 79.72
tof_t1 , 77.58, tof_t2 , 79.79
tof_t1 , 77.53, tof_t2 , 79.68
tof_t1 , 77.55, tof_t2 , 79.77
tof_t1 , 77.56, tof_t2 , 79.83
tof_t1 , 77.51, tof_t2 , 79.78
tof_t1 , 77.54, tof_t2 , 79.81
tof_t1 , 77.53, tof_t2 , 79.74
tof_t1 , 77.53, tof_t2 , 79.74
tof_t1 , 77.59, tof_t2 , 79.75
tof_t1 , 77.58, tof_t2 , 79.68
tof_t1 , 77.55, tof_t2 , 79.71
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.49, tof_t2 , 79.76
tof_t1 , 77.41, tof_t2 , 79.68
tof_t1 , 77.44, tof_t2 , 79.70
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.66, tof_t2 , 79.75
tof_t1 , 77.50, tof_t2 , 79.71
tof_t1 , 77.54, tof_t2 , 79.75
tof_t1 , 77.50, tof_t2 , 79.83
tof_t1 , 77.54, tof_t2 , 79.81
tof_t1 , 77.47, tof_t2 , 79.74
tof_t1 , 77.52, tof_t2 , 79.68
tof_t1 , 77.62, tof_t2 , 79.77
tof_t1 , 77.55, tof_t2 , 79.71
tof_t1 , 77.52, tof_t2 , 79.73
tof_t1 , 77.46, tof_t2 , 79.67
tof_t1 , 77.43, tof_t2 , 79.64
tof_t1 , 77.37, tof_t2 , 79.58
tof_t1 , 77.47, tof_t2 , 79.68
tof_t1 , 77.51, tof_t2 , 79.72
tof_t1 , 77.60, tof_t2 , 79.87
tof_t1 , 77.52, tof_t2 , 79.73
tof_t1 , 77.51, tof_t2 , 79.72
tof_t1 , 77.49, tof_t2 , 79.76
tof_t1 , 77.53, tof_t2 , 79.80
tof_t1 , 77.43, tof_t2 , 79.53
tof_t1 , 77.51, tof_t2 , 79.72
tof_t1 , 77.51, tof_t2 , 79.72
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.50, tof_t2 , 79.65
tof_t1 , 77.46, tof_t2 , 79.73
tof_t1 , 77.45, tof_t2 , 79.78
tof_t1 , 77.43, tof_t2 , 79.64
tof_t1 , 77.43, tof_t2 , 79.59
tof_t1 , 77.47, tof_t2 , 79.74
tof_t1 , 77.57, tof_t2 , 79.78
tof_t1 , 77.46, tof_t2 , 79.67
tof_t1 , 77.51, tof_t2 , 79.72
tof_t1 , 77.53, tof_t2 , 79.74
tof_t1 , 77.49, tof_t2 , 79.59
tof_t1 , 77.46, tof_t2 , 79.62
tof_t1 , 77.47, tof_t2 , 79.79
tof_t1 , 77.65, tof_t2 , 79.80
tof_t1 , 77.54, tof_t2 , 79.75
tof_t1 , 77.50, tof_t2 , 79.71
tof_t1 , 77.44, tof_t2 , 79.65
tof_t1 , 77.49, tof_t2 , 79.76
tof_t1 , 77.45, tof_t2 , 79.60
tof_t1 , 77.62, tof_t2 , 79.88
tof_t1 , 77.40, tof_t2 , 79.61
tof_t1 , 77.43, tof_t2 , 79.70
tof_t1 , 77.43, tof_t2 , 79.59
tof_t1 , 77.28, tof_t2 , 79.55
tof_t1 , 77.26, tof_t2 , 79.53
tof_t1 , 77.29, tof_t2 , 79.50
tof_t1 , 77.31, tof_t2 , 79.47
tof_t1 , 77.07, tof_t2 , 79.28
tof_t1 , 76.97, tof_t2 , 79.18
tof_t1 , 76.94, tof_t2 , 79.09
tof_t1 , 76.83, tof_t2 , 79.04
tof_t1 , 76.72, tof_t2 , 78.98
tof_t1 , 76.72, tof_t2 , 78.99
tof_t1 , 76.57, tof_t2 , 78.78
tof_t1 , 76.57, tof_t2 , 78.78
tof_t1 , 76.58, tof_t2 , 78.80
tof_t1 , 76.55, tof_t2 , 78.82
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.44, tof_t2 , 78.71
tof_t1 , 76.51, tof_t2 , 78.72
tof_t1 , 76.45, tof_t2 , 78.72
tof_t1 , 76.52, tof_t2 , 78.73
tof_t1 , 76.46, tof_t2 , 78.73
tof_t1 , 76.52, tof_t2 , 78.67
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.52, tof_t2 , 78.73
tof_t1 , 76.45, tof_t2 , 78.72
tof_t1 , 76.42, tof_t2 , 78.69
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.46, tof_t2 , 78.61
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.62, tof_t2 , 78.83
tof_t1 , 76.52, tof_t2 , 78.67
tof_t1 , 76.48, tof_t2 , 78.63
tof_t1 , 76.52, tof_t2 , 78.79
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.52, tof_t2 , 78.73
tof_t1 , 76.52, tof_t2 , 78.73
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.49, tof_t2 , 78.58
tof_t1 , 76.48, tof_t2 , 78.63
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.50, tof_t2 , 78.66
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.47, tof_t2 , 78.74
tof_t1 , 76.44, tof_t2 , 78.66
tof_t1 , 76.44, tof_t2 , 78.59
tof_t1 , 76.42, tof_t2 , 78.69
tof_t1 , 76.46, tof_t2 , 78.61
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.47, tof_t2 , 78.74
tof_t1 , 76.43, tof_t2 , 78.70
tof_t1 , 76.51, tof_t2 , 78.72
tof_t1 , 76.48, tof_t2 , 78.75
tof_t1 , 76.44, tof_t2 , 78.66
tof_t1 , 76.50, tof_t2 , 78.72
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.42, tof_t2 , 78.69
tof_t1 , 76.41, tof_t2 , 78.62
tof_t1 , 76.44, tof_t2 , 78.60
tof_t1 , 76.31, tof_t2 , 78.58
tof_t1 , 76.44, tof_t2 , 78.65
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.42, tof_t2 , 78.64
tof_t1 , 76.47, tof_t2 , 78.62
tof_t1 , 76.51, tof_t2 , 78.72
tof_t1 , 76.47, tof_t2 , 78.74
tof_t1 , 76.52, tof_t2 , 78.79
tof_t1 , 76.47, tof_t2 , 78.63
tof_t1 , 76.42, tof_t2 , 78.69
tof_t1 , 76.41, tof_t2 , 78.62
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.41, tof_t2 , 78.67
tof_t1 , 76.40, tof_t2 , 78.72
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.46, tof_t2 , 78.73
tof_t1 , 76.45, tof_t2 , 78.61
tof_t1 , 76.49, tof_t2 , 78.75
tof_t1 , 76.45, tof_t2 , 78.66
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.44, tof_t2 , 78.65
tof_t1 , 76.45, tof_t2 , 78.72
tof_t1 , 76.40, tof_t2 , 78.62
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.44, tof_t2 , 78.71
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.41, tof_t2 , 78.68
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.51, tof_t2 , 78.66
tof_t1 , 76.44, tof_t2 , 78.65
tof_t1 , 76.51, tof_t2 , 78.72
tof_t1 , 76.42, tof_t2 , 78.57
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.39, tof_t2 , 78.55
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.69, tof_t2 , 78.91
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.41, tof_t2 , 78.67
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.39, tof_t2 , 78.66
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.47, tof_t2 , 78.62
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.51, tof_t2 , 78.78
tof_t1 , 76.49, tof_t2 , 78.65
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.50, tof_t2 , 78.65
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.42, tof_t2 , 78.69
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.53, tof_t2 , 78.79
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.47, tof_t2 , 78.74
tof_t1 , 76.46, tof_t2 , 78.67
tof_t1 , 76.46, tof_t2 , 78.62
tof_t1 , 76.47, tof_t2 , 78.63
tof_t1 , 76.45, tof_t2 , 78.61
tof_t1 , 76.48, tof_t2 , 78.64
tof_t1 , 76.52, tof_t2 , 78.67
tof_t1 , 76.54, tof_t2 , 78.75
tof_t1 , 76.47, tof_t2 , 78.68
tof_t1 , 76.60, tof_t2 , 78.81
tof_t1 , 76.49, tof_t2 , 78.64
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.49, tof_t2 , 78.64
tof_t1 , 76.47, tof_t2 , 78.73
tof_t1 , 76.60, tof_t2 , 78.81
tof_t1 , 76.70, tof_t2 , 78.91
tof_t1 , 76.40, tof_t2 , 78.61
tof_t1 , 76.40, tof_t2 , 78.61
tof_t1 , 76.60, tof_t2 , 78.87
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.56, tof_t2 , 78.77
tof_t1 , 76.52, tof_t2 , 78.67
tof_t1 , 76.53, tof_t2 , 78.80
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.48, tof_t2 , 78.69
tof_t1 , 76.44, tof_t2 , 78.71
tof_t1 , 76.42, tof_t2 , 78.64
tof_t1 , 76.50, tof_t2 , 78.77
tof_t1 , 76.56, tof_t2 , 78.77
tof_t1 , 76.50, tof_t2 , 78.66
tof_t1 , 76.50, tof_t2 , 78.71
tof_t1 , 76.53, tof_t2 , 78.80
tof_t1 , 76.48, tof_t2 , 78.75
tof_t1 , 76.49, tof_t2 , 78.70
tof_t1 , 76.58, tof_t2 , 78.79
tof_t1 , 76.58, tof_t2 , 78.79
tof_t1 , 76.61, tof_t2 , 78.88
tof_t1 , 76.60, tof_t2 , 78.81
tof_t1 , 76.66, tof_t2 , 78.98
tof_t1 , 76.82, tof_t2 , 79.04
tof_t1 , 76.81, tof_t2 , 79.02
tof_t1 , 76.91, tof_t2 , 79.06
tof_t1 , 77.11, tof_t2 , 79.32
tof_t1 , 77.13, tof_t2 , 79.40
tof_t1 , 77.21, tof_t2 , 79.37
tof_t1 , 77.35, tof_t2 , 79.56
tof_t1 , 77.43, tof_t2 , 79.64
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.47, tof_t2 , 79.57
tof_t1 , 77.57, tof_t2 , 79.78
tof_t1 , 77.43, tof_t2 , 79.59
tof_t1 , 77.46, tof_t2 , 79.61
tof_t1 , 77.53, tof_t2 , 79.69
tof_t1 , 77.61, tof_t2 , 79.82
tof_t1 , 77.52, tof_t2 , 79.68
tof_t1 , 77.48, tof_t2 , 79.69
tof_t1 , 77.45, tof_t2 , 79.66
tof_t1 , 77.44, tof_t2 , 79.71
tof_t1 , 77.43, tof_t2 , 79.58
tof_t1 , 77.54, tof_t2 , 79.70
tof_t1 , 77.47, tof_t2 , 79.63
tof_t1 , 77.50, tof_t2 , 79.71
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.51, tof_t2 , 79.77
tof_t1 , 77.53, tof_t2 , 79.74
tof_t1 , 77.45, tof_t2 , 79.61
tof_t1 , 77.55, tof_t2 , 79.76
tof_t1 , 77.44, tof_t2 , 79.70
tof_t1 , 77.47, tof_t2 , 79.62
